Date,HE,PGE,SCE,SDGE,VEA,CAISO Total
1/6/2014,18,13379,12951,2896,60,29285
1/6/2014,19,13583,13111,2935,62,29690
1/6/2014,20,13273,12846,2846,63,29028
1/6/2014,21,12799,12496,2776,63,28134
1/6/2014,22,12061,11814,2576,62,26513
1/6/2014,23,10993,10826,2316,58,24194
1/6/2014,24,10081,9932,2076,56,22145
1/7/2014,1,9505,9313,1926,55,20800
1/7/2014,2,9308,8989,1851,55,20203
1/7/2014,3,9232,8803,1842,55,19932
1/7/2014,4,8975,8759,1841,56,19631
1/7/2014,5,9247,9026,1873,60,20205
1/7/2014,6,9937,9788,2064,65,21854
1/7/2014,7,11244,10987,2385,74,24689
1/7/2014,8,12161,11534,2506,75,26275
1/7/2014,9,12215,11753,2511,69,26549
1/7/2014,10,12256,11868,2485,61,26670
1/7/2014,11,12191,11963,2487,56,26697
1/7/2014,12,12051,11999,2547,52,26649
1/7/2014,13,11770,11964,2478,49,26261
1/7/2014,14,11665,11952,2453,47,26117
1/7/2014,15,11624,11878,2449,47,25998
1/7/2014,16,11566,11849,2460,49,25925
1/7/2014,17,11888,12171,2518,55,26633
1/7/2014,18,13129,13284,2883,63,29360
1/7/2014,19,13484,13364,2932,65,29846
1/7/2014,20,13237,13100,2881,67,29286
1/7/2014,21,12795,12708,2780,67,28350
1/7/2014,22,12117,12050,2570,65,26803
1/7/2014,23,11158,11074,2306,62,24600
1/7/2014,24,10341,10116,2063,61,22581
1/8/2014,1,10009,9490,1916,61,21476
1/8/2014,2,9664,9257,1834,62,20817
1/8/2014,3,9477,9137,1821,65,20500
1/8/2014,4,9468,9103,1810,68,20449
1/8/2014,5,9511,9208,1839,73,20631
1/8/2014,6,10034,9977,2028,81,22121
1/8/2014,7,11166,11084,2338,91,24678
1/8/2014,8,12134,11668,2462,91,26355
1/8/2014,9,12236,11945,2513,79,26773
1/8/2014,10,12142,12064,2503,69,26778
1/8/2014,11,12139,12057,2502,58,26757
1/8/2014,12,11985,11853,2499,51,26388
1/8/2014,13,11771,11757,2490,46,26065
1/8/2014,14,11698,11824,2488,43,26053
1/8/2014,15,11655,11782,2481,41,25959
1/8/2014,16,11680,11718,2506,42,25945
1/8/2014,17,12176,12205,2591,48,27020
1/8/2014,18,13389,13569,2939,56,29953
1/8/2014,19,13717,13789,2974,58,30538
1/8/2014,20,13474,13567,2893,59,29994
1/8/2014,21,13083,13193,2774,59,29108
1/8/2014,22,12349,12531,2568,56,27505
1/8/2014,23,11425,11465,2304,53,25247
1/8/2014,24,10477,10577,2067,52,23173
1/9/2014,1,10239,10014,1910,52,22214
1/9/2014,2,9871,9844,1827,54,21595
1/9/2014,3,9678,9619,1809,57,21162
1/9/2014,4,9636,9640,1754,60,21090
1/9/2014,5,9873,9705,1802,65,21444
1/9/2014,6,10280,10318,1988,72,22657
1/9/2014,7,11396,11509,2287,82,25274
1/9/2014,8,12354,11921,2416,82,26773
1/9/2014,9,12388,12145,2472,78,27083
1/9/2014,10,12277,12307,2475,70,27129
1/9/2014,11,12145,12388,2488,60,27081
1/9/2014,12,11950,12294,2521,52,26818
1/9/2014,13,11780,12206,2486,47,26520
1/9/2014,14,11684,12218,2457,44,26403
1/9/2014,15,11618,12251,2436,41,26347
1/9/2014,16,11730,12204,2460,41,26436
1/9/2014,17,12000,12296,2555,46,26897
1/9/2014,18,13104,13448,2891,56,29499
1/9/2014,19,13530,13658,2954,59,30201
1/9/2014,20,13309,13481,2880,61,29731
1/9/2014,21,12920,13106,2765,61,28852
1/9/2014,22,12285,12443,2568,59,27355
1/9/2014,23,11302,11579,2315,56,25252
1/9/2014,24,10435,10665,2080,55,23235
1/10/2014,1,10199,10159,1932,55,22345
1/10/2014,2,9854,9988,1853,56,21750
1/10/2014,3,9325,9733,1839,57,20954
1/10/2014,4,9306,9634,1834,59,20833
1/10/2014,5,9593,9859,1861,64,21377
1/10/2014,6,10258,10291,2052,71,22672
1/10/2014,7,11367,11330,2357,80,25134
1/10/2014,8,12287,11852,2442,79,26660
1/10/2014,9,12329,12016,2398,69,26812
1/10/2014,10,12179,12103,2490,59,26831
1/10/2014,11,12006,12189,2511,52,26758
1/10/2014,12,11781,12134,2496,47,26458
1/10/2014,13,11593,12070,2479,43,26184
1/10/2014,14,11521,12056,2472,41,26090
1/10/2014,15,11443,11993,2469,39,25943
1/10/2014,16,11471,11918,2468,38,25895
1/10/2014,17,11773,11949,2538,42,26301
1/10/2014,18,12842,12933,2824,49,28648
1/10/2014,19,13164,13047,2858,50,29118
1/10/2014,20,12804,12753,2772,50,28380
1/10/2014,21,12464,12346,2668,51,27529
1/10/2014,22,11908,11870,2519,50,26347
1/10/2014,23,11187,11080,2316,49,24632
1/10/2014,24,10420,10357,2102,48,22928
1/11/2014,1,9862,9816,1949,48,21676
1/11/2014,2,9473,9415,1889,49,20826
1/11/2014,3,9229,9297,1839,51,20416
1/11/2014,4,9132,9173,1819,54,20178
1/11/2014,5,9202,9232,1843,58,20334
1/11/2014,6,9488,9380,1888,63,20820
1/11/2014,7,9929,9796,2026,70,21821
1/11/2014,8,10394,9935,2105,74,22508
1/11/2014,9,10901,10252,2194,71,23418
1/11/2014,10,11314,10464,2237,63,24078
1/11/2014,11,11568,10583,2250,54,24455
1/11/2014,12,11576,10628,2253,47,24504
1/11/2014,13,11475,10580,2240,42,24337
1/11/2014,14,11377,10506,2219,41,24142
1/11/2014,15,11270,10490,2206,40,24006
1/11/2014,16,11278,10474,2187,41,23980
1/11/2014,17,11505,10728,2334,46,24613
1/11/2014,18,12572,11941,2691,52,27256
1/11/2014,19,12856,12123,2746,52,27776
1/11/2014,20,12566,11976,2672,51,27265
1/11/2014,21,12252,11750,2581,51,26634
1/11/2014,22,11741,11319,2433,49,25542
1/11/2014,23,11009,10637,2248,47,23942
1/11/2014,24,10516,9969,2044,46,22574
1/12/2014,1,10051,9527,1886,45,21510
1/12/2014,2,9675,9188,1799,46,20708
1/12/2014,3,9447,9106,1712,48,20313
1/12/2014,4,9334,8947,1681,51,20012
1/12/2014,5,9355,8965,1714,53,20087
1/12/2014,6,9309,9012,1777,57,20156
1/12/2014,7,9615,9327,1909,63,20914
1/12/2014,8,10066,9420,1963,64,21513
1/12/2014,9,10534,9765,1989,59,22347
1/12/2014,10,10843,10026,2017,54,22940
1/12/2014,11,10844,10181,2054,51,23130
1/12/2014,12,10690,10247,2064,48,23049
1/12/2014,13,10503,10153,2061,45,22762
1/12/2014,14,10432,10068,2056,43,22599
1/12/2014,15,10527,9890,2030,41,22488
1/12/2014,16,10683,9906,2104,42,22735
1/12/2014,17,10854,10270,2256,46,23425
1/12/2014,18,12273,11646,2670,55,26644
1/12/2014,19,12831,12016,2773,56,27676
1/12/2014,20,12673,11929,2725,56,27383
1/12/2014,21,12337,11662,2600,56,26655
1/12/2014,22,11653,11112,2422,53,25240
1/12/2014,23,10891,10313,2196,50,23449
1/12/2014,24,10204,9508,1989,48,21750
1/13/2014,1,9893,9068,1841,48,20850
1/13/2014,2,9575,8992,1756,49,20372
1/13/2014,3,9364,8968,1768,51,20151
1/13/2014,4,9370,9021,1792,54,20237
1/13/2014,5,9738,9119,1828,59,20745
1/13/2014,6,10306,10129,2086,67,22588
1/13/2014,7,11444,10848,2343,77,24711
1/13/2014,8,12453,11420,2385,78,26336
1/13/2014,9,12414,11555,2418,68,26454
1/13/2014,10,12167,11713,2525,59,26465
1/13/2014,11,12001,11849,2544,53,26446
1/13/2014,12,11844,11853,2550,52,26298
1/13/2014,13,11669,11870,2557,47,26143
1/13/2014,14,11593,11926,2578,42,26138
1/13/2014,15,11540,11920,2577,40,26076
1/13/2014,16,11624,11932,2576,40,26172
1/13/2014,17,11978,11998,2622,43,26641
1/13/2014,18,13212,13127,2911,52,29302
1/13/2014,19,13681,13407,2970,55,30114
1/13/2014,20,13430,13158,2874,56,29517
1/13/2014,21,12998,12740,2753,57,28548
1/13/2014,22,12281,11994,2543,56,26874
1/13/2014,23,11331,10956,2279,54,24620
1/13/2014,24,10567,10154,2050,53,22824
1/14/2014,1,10157,9571,1903,52,21683
1/14/2014,2,9826,9466,1832,53,21178
1/14/2014,3,9670,9266,1821,54,20812
1/14/2014,4,9703,9309,1824,55,20891
1/14/2014,5,9905,9600,1855,58,21417
1/14/2014,6,10348,10000,2049,65,22461
1/14/2014,7,11637,11029,2378,73,25117
1/14/2014,8,12510,11468,2499,75,26551
1/14/2014,9,12427,11629,2529,66,26651
1/14/2014,10,12220,11749,2550,57,26576
1/14/2014,11,12003,11921,2576,50,26550
1/14/2014,12,11817,12089,2603,46,26556
1/14/2014,13,11655,12155,2620,43,26472
1/14/2014,14,11622,12251,2626,41,26541
1/14/2014,15,11589,12277,2637,39,26542
1/14/2014,16,11663,12246,2658,39,26606
1/14/2014,17,11971,12262,2689,42,26964
1/14/2014,18,13108,13295,2965,50,29417
1/14/2014,19,13537,13447,3007,52,30042
1/14/2014,20,13267,13162,2908,53,29390
1/14/2014,21,12817,12693,2772,53,28336
1/14/2014,22,12170,12001,2557,52,26780
1/14/2014,23,11169,11028,2288,50,24534
1/14/2014,24,10294,10226,2048,49,22616
1/15/2014,1,10034,9617,1889,50,21590
1/15/2014,2,9763,9292,1801,52,20908
1/15/2014,3,9597,9082,1793,54,20525
1/15/2014,4,9622,9061,1753,57,20493
1/15/2014,5,9906,9225,1814,63,21007
1/15/2014,6,10501,9866,1998,71,22437
1/15/2014,7,11534,10848,2298,81,24761
1/15/2014,8,12423,11326,2410,80,26239
1/15/2014,9,12363,11515,2428,69,26375
1/15/2014,10,12154,11812,2447,60,26473
1/15/2014,11,11992,12086,2518,52,26648
1/15/2014,12,11810,12272,2614,46,26742
1/15/2014,13,11561,12369,2635,43,26608
1/15/2014,14,11544,12550,2681,40,26815
1/15/2014,15,11482,12573,2696,39,26790
1/15/2014,16,11442,12545,2705,39,26731
1/15/2014,17,11852,12529,2713,41,27135
1/15/2014,18,13084,13433,2941,49,29507
1/15/2014,19,13527,13573,2978,51,30128
1/15/2014,20,13233,13238,2869,52,29391
1/15/2014,21,12776,12794,2733,52,28356
1/15/2014,22,12085,12075,2531,52,26742
1/15/2014,23,11167,11056,2270,50,24543
1/15/2014,24,10246,10118,2036,50,22450
1/16/2014,1,9821,9699,1880,50,21450
1/16/2014,2,9730,9388,1807,53,20978
1/16/2014,3,9590,9155,1795,55,20595
1/16/2014,4,9370,9148,1782,58,20358
1/16/2014,5,9553,9356,1839,63,20812
1/16/2014,6,10240,9943,1987,71,22241
1/16/2014,7,11566,10915,2292,80,24853
1/16/2014,8,12448,11390,2414,80,26331
1/16/2014,9,12332,11678,2471,68,26549
1/16/2014,10,12139,11932,2516,59,26646
1/16/2014,11,11992,12136,2575,51,26755
1/16/2014,12,11845,12320,2624,45,26835
1/16/2014,13,11687,12425,2651,42,26805
1/16/2014,14,11645,12580,2676,40,26941
1/16/2014,15,11632,12566,2687,38,26922
1/16/2014,16,11658,12553,2700,37,26949
1/16/2014,17,11967,12564,2696,40,27267
1/16/2014,18,12867,13410,2913,48,29238
1/16/2014,19,13384,13517,2952,50,29903
1/16/2014,20,13083,13175,2844,51,29153
1/16/2014,21,12717,12850,2712,51,28330
1/16/2014,22,12043,12073,2515,50,26681
1/16/2014,23,11130,11216,2263,49,24658
1/16/2014,24,10322,10347,2026,48,22743
1/17/2014,1,9774,9748,1883,50,21455
1/17/2014,2,9732,9352,1832,52,20968
1/17/2014,3,9564,9159,1783,55,20561
1/17/2014,4,9586,9050,1774,58,20468
1/17/2014,5,9608,9294,1790,64,20755
1/17/2014,6,10218,9843,1965,72,22099
1/17/2014,7,11417,10722,2249,81,24469
1/17/2014,8,12340,11176,2377,81,25975
1/17/2014,9,12295,11453,2412,71,26230
1/17/2014,10,12105,11720,2473,61,26359
1/17/2014,11,11930,12013,2505,53,26501
1/17/2014,12,11740,12196,2542,47,26524
1/17/2014,13,11555,12293,2578,43,26468
1/17/2014,14,11536,12436,2609,40,26621
1/17/2014,15,11505,12474,2609,38,26626
1/17/2014,16,11539,12392,2594,38,26562
1/17/2014,17,11755,12263,2606,40,26665
1/17/2014,18,12693,13071,2828,48,28639
1/17/2014,19,13018,13081,2841,50,28990
1/17/2014,20,12685,12665,2741,51,28142
1/17/2014,21,12300,12238,2623,52,27212
1/17/2014,22,11759,11682,2462,52,25955
1/17/2014,23,11073,10937,2260,52,24321
1/17/2014,24,10363,10151,2053,52,22619
1/18/2014,1,9931,9539,1898,52,21421
1/18/2014,2,9713,9188,1811,54,20767
1/18/2014,3,9509,8903,1791,56,20258
1/18/2014,4,9414,8805,1774,59,20051
1/18/2014,5,9263,8882,1755,64,19964
1/18/2014,6,9444,9056,1831,70,20402
1/18/2014,7,9960,9359,1962,78,21359
1/18/2014,8,10428,9502,2043,80,22053
1/18/2014,9,10795,9880,2132,71,22879
1/18/2014,10,10926,10191,2181,62,23359
1/18/2014,11,10874,10399,2224,53,23550
1/18/2014,12,10705,10415,2245,46,23412
1/18/2014,13,10526,10415,2283,42,23265
1/18/2014,14,10381,10406,2281,39,23107
1/18/2014,15,10323,10467,2277,37,23104
1/18/2014,16,10400,10484,2279,37,23200
1/18/2014,17,10728,10643,2346,40,23757
1/18/2014,18,11780,11657,2633,48,26119
1/18/2014,19,12260,11929,2692,50,26931
1/18/2014,20,12031,11688,2618,51,26389
1/18/2014,21,11736,11350,2525,52,25663
1/18/2014,22,11321,10892,2381,52,24646
1/18/2014,23,10733,10329,2196,52,23310
1/18/2014,24,10084,9737,2008,52,21882
1/19/2014,1,9581,9267,1872,53,20773
1/19/2014,2,9377,8914,1813,55,20159
1/19/2014,3,9376,8898,1763,57,20094
1/19/2014,4,9159,8793,1739,61,19751
1/19/2014,5,9054,8809,1748,65,19676
1/19/2014,6,9275,8939,1772,71,20057
1/19/2014,7,9744,9088,1870,79,20781
1/19/2014,8,10102,9142,1930,81,21255
1/19/2014,9,10468,9512,2045,73,22098
1/19/2014,10,10549,9784,2109,63,22505
1/19/2014,11,10411,9820,2116,54,22401
1/19/2014,12,10304,9853,2141,47,22345
1/19/2014,13,10205,9914,2179,43,22340
1/19/2014,14,10143,9979,2181,41,22344
1/19/2014,15,10080,10047,2170,38,22336
1/19/2014,16,10225,10100,2189,39,22552
1/19/2014,17,10499,10320,2276,42,23136
1/19/2014,18,11589,11445,2613,49,25697
1/19/2014,19,12024,11821,2697,51,26594
1/19/2014,20,12040,11690,2644,53,26426
1/19/2014,21,11776,11354,2531,54,25715
1/19/2014,22,11249,10876,2372,53,24551
1/19/2014,23,10595,10154,2165,52,22965
1/19/2014,24,10036,9550,1969,52,21607
1/20/2014,1,9680,9128,1833,53,20694
1/20/2014,2,9406,8823,1759,55,20042
1/20/2014,3,9273,8683,1718,57,19732
1/20/2014,4,9312,8715,1721,60,19808
1/20/2014,5,9226,8942,1772,65,20004
1/20/2014,6,9802,9472,1920,72,21267
1/20/2014,7,10634,10137,2132,80,22983
1/20/2014,8,11357,10560,2255,82,24254
1/20/2014,9,11740,11024,2324,73,25160
1/20/2014,10,11823,11321,2357,64,25564
1/20/2014,11,11784,11523,2396,55,25758
1/20/2014,12,11675,11574,2407,49,25705
1/20/2014,13,11490,11600,2453,45,25587
1/20/2014,14,11422,11698,2468,42,25630
1/20/2014,15,11352,11737,2475,39,25603
1/20/2014,16,11412,11729,2490,39,25670
1/20/2014,17,11744,11831,2543,42,26161
1/20/2014,18,12825,12724,2836,51,28435
1/20/2014,19,13389,13091,2910,54,29444
1/20/2014,20,13155,12856,2822,54,28887
1/20/2014,21,12760,12447,2690,54,27950
1/20/2014,22,12049,11779,2485,53,26367
1/20/2014,23,11142,10924,2227,52,24346
1/20/2014,24,10289,10180,2001,51,22521
1/21/2014,1,9714,9612,1856,52,21233
1/21/2014,2,9392,9466,1772,54,20684
1/21/2014,3,9312,9266,1732,56,20366
1/21/2014,4,9592,9263,1732,60,20646
1/21/2014,5,9742,9317,1793,66,20918
1/21/2014,6,10269,9886,1968,74,22196
1/21/2014,7,11547,10890,2279,83,24799
1/21/2014,8,12524,11415,2426,83,26448
1/21/2014,9,12473,11585,2482,74,26615
1/21/2014,10,12305,11770,2501,69,26644
1/21/2014,11,12109,11952,2540,60,26661
1/21/2014,12,11893,12053,2567,51,26564
1/21/2014,13,11706,12052,2557,46,26361
1/21/2014,14,11650,12091,2554,43,26338
1/21/2014,15,11581,12011,2532,42,26166
1/21/2014,16,11631,11914,2526,44,26114
1/21/2014,17,11912,12051,2590,48,26600
1/21/2014,18,12949,13128,2866,55,28999
1/21/2014,19,13559,13284,2913,57,29812
1/21/2014,20,13318,13003,2811,57,29190
1/21/2014,21,12866,12557,2683,56,28161
1/21/2014,22,12215,11859,2478,53,26606
1/21/2014,23,11281,10927,2223,50,24480
1/21/2014,24,10390,10215,1990,48,22644
1/22/2014,1,9787,9636,1829,48,21300
1/22/2014,2,9438,9460,1753,49,20699
1/22/2014,3,9279,9258,1738,50,20325
1/22/2014,4,9302,9202,1688,52,20245
1/22/2014,5,9616,9252,1747,57,20672
1/22/2014,6,10361,9771,1924,64,22121
1/22/2014,7,11642,10719,2225,72,24658
1/22/2014,8,12590,11188,2330,74,26183
1/22/2014,9,12497,11413,2337,70,26318
1/22/2014,10,12213,11616,2360,60,26250
1/22/2014,11,12008,11811,2403,52,26273
1/22/2014,12,11849,11950,2434,46,26279
1/22/2014,13,11698,12045,2432,41,26216
1/22/2014,14,11667,12164,2398,38,26267
1/22/2014,15,11602,12145,2439,37,26223
1/22/2014,16,11624,12073,2445,36,26178
1/22/2014,17,11857,12082,2514,39,26493
1/22/2014,18,12812,12987,2756,48,28604
1/22/2014,19,13383,13385,2848,51,29667
1/22/2014,20,13177,13129,2788,53,29146
1/22/2014,21,12769,12683,2656,53,28161
1/22/2014,22,12100,11983,2453,52,26589
1/22/2014,23,11209,11047,2199,51,24506
1/22/2014,24,10317,10266,1968,50,22601
1/23/2014,1,9776,9684,1844,51,21356
1/23/2014,2,9457,9529,1797,53,20836
1/23/2014,3,9305,9333,1754,55,20447
1/23/2014,4,9323,9317,1749,57,20446
1/23/2014,5,9606,9387,1768,63,20825
1/23/2014,6,10366,9985,1949,72,22371
1/23/2014,7,11663,10993,2288,81,25026
1/23/2014,8,12503,11468,2419,80,26470
1/23/2014,9,12387,11570,2425,73,26455
1/23/2014,10,12170,11719,2388,67,26345
1/23/2014,11,11951,11843,2390,61,26245
1/23/2014,12,11782,11866,2466,54,26169
1/23/2014,13,11630,11844,2380,51,25905
1/23/2014,14,11643,12081,2424,50,26199
1/23/2014,15,11628,12081,2395,49,26153
1/23/2014,16,11677,12012,2407,49,26145
1/23/2014,17,11982,12074,2506,53,26615
1/23/2014,18,12934,12994,2802,60,28790
1/23/2014,19,13459,13205,2869,61,29594
1/23/2014,20,13190,13047,2797,61,29095
1/23/2014,21,12783,12703,2677,59,28222
1/23/2014,22,12089,12035,2473,57,26653
1/23/2014,23,11266,11110,2252,52,24680
1/23/2014,24,10361,10360,2024,49,22795
1/24/2014,1,9776,9780,1870,48,21473
1/24/2014,2,9451,9391,1803,47,20692
1/24/2014,3,9262,9175,1792,47,20276
1/24/2014,4,9247,9140,1778,49,20213
1/24/2014,5,9504,9364,1790,52,20710
1/24/2014,6,10196,9972,1965,57,22191
1/24/2014,7,11354,10873,2267,64,24559
1/24/2014,8,12185,11318,2372,67,25943
1/24/2014,9,12262,11643,2450,62,26416
1/24/2014,10,12178,11906,2516,56,26656
1/24/2014,11,11999,12089,2536,49,26674
1/24/2014,12,11856,12112,2513,45,26526
1/24/2014,13,11675,12046,2477,42,26239
1/24/2014,14,11632,11975,2485,40,26132
1/24/2014,15,11575,11829,2468,39,25912
1/24/2014,16,11596,11739,2450,40,25824
1/24/2014,17,11775,11836,2524,43,26179
1/24/2014,18,12586,12711,2802,50,28150
1/24/2014,19,13003,12787,2823,51,28664
1/24/2014,20,12749,12577,2728,51,28105
1/24/2014,21,12357,12226,2626,50,27260
1/24/2014,22,11829,11754,2461,49,26094
1/24/2014,23,11182,11083,2242,46,24553
1/24/2014,24,10417,10314,2024,44,22799
1/25/2014,1,9780,9672,1866,43,21360
1/25/2014,2,9389,9267,1757,42,20455
1/25/2014,3,9155,8935,1764,43,19897
1/25/2014,4,9033,8793,1818,44,19689
1/25/2014,5,9078,8831,1872,46,19827
1/25/2014,6,9320,9121,1879,52,20373
1/25/2014,7,9818,9544,1886,59,21308
1/25/2014,8,10164,9583,1936,63,21746
1/25/2014,9,10601,9938,2085,58,22682
1/25/2014,10,10707,10190,2123,51,23071
1/25/2014,11,10701,10345,2159,46,23251
1/25/2014,12,10590,10370,2176,42,23177
1/25/2014,13,10437,10333,2169,39,22977
1/25/2014,14,10358,10287,2158,37,22839
1/25/2014,15,10290,10230,2144,35,22700
1/25/2014,16,10357,10241,2173,36,22806
1/25/2014,17,10669,10405,2241,39,23355
1/25/2014,18,11607,11326,2536,45,25515
1/25/2014,19,12169,11815,2659,47,26689
1/25/2014,20,11945,11600,2585,47,26177
1/25/2014,21,11617,11255,2485,48,25405
1/25/2014,22,11156,10916,2340,48,24461
1/25/2014,23,10694,10367,2160,47,23268
1/25/2014,24,10029,9741,1975,47,21792
1/26/2014,1,9456,9193,1843,48,20540
1/26/2014,2,9104,8842,1762,50,19757
1/26/2014,3,8905,8575,1748,52,19280
1/26/2014,4,8837,8634,1723,55,19250
